timestamp,open,high,low,close,volume
2024-01-01,100.0000,101.2500,97.3000,98.4000,1200
2024-01-02,98.4000,99.6500,95.9500,97.0500,1253
2024-01-03,97.0500,98.3000,95.0500,96.1500,1306
2024-01-04,96.1500,97.4000,94.6000,95.7000,1359
2024-01-05,95.7000,96.9500,94.6000,95.7000,1412
2024-01-06,95.7000,97.4000,94.6000,96.1500,1465
2024-01-07,96.1500,98.3000,95.0500,97.0500,1518
2024-01-08,97.0500,99.6500,95.9500,98.4000,1571
2024-01-09,98.4000,101.4500,97.3000,100.2000,1624
2024-01-10,100.2000,101.4500,97.3000,98.4000,1677
2024-01-11,98.4000,99.6500,95.9500,97.0500,1730
2024-01-12,97.0500,98.3000,95.0500,96.1500,1783
2024-01-13,96.1500,97.4000,94.6000,95.7000,1836
2024-01-14,95.7000,96.9500,94.6000,95.7000,1889
2024-01-15,95.7000,97.4000,94.6000,96.1500,1942
2024-01-16,96.1500,98.3000,95.0500,97.0500,1995
2024-01-17,97.0500,99.6500,95.9500,98.4000,2048
2024-01-18,98.4000,103.6500,97.3000,102.4000,1201
2024-01-19,102.4000,103.6500,99.5000,100.6000,1254
2024-01-20,100.6000,101.8500,98.1500,99.2500,1307
2024-01-21,99.2500,100.5000,97.2500,98.3500,1360
2024-01-22,98.3500,99.6000,96.8000,97.9000,1413
2024-01-23,97.9000,99.1500,96.8000,97.9000,1466
2024-01-24,97.9000,99.1500,95.2500,96.3500,1519
2024-01-25,96.3500,98.5000,95.2500,97.2500,1572
2024-01-26,97.2500,99.8500,96.1500,98.6000,1625
2024-01-27,98.6000,101.6500,97.5000,100.4000,1678
2024-01-28,100.4000,101.6500,97.5000,98.6000,1731
2024-01-29,98.6000,99.8500,96.1500,97.2500,1784
2024-01-30,97.2500,98.5000,95.2500,96.3500,1837
2024-01-31,96.3500,97.6000,94.8000,95.9000,1890
2024-02-01,95.9000,97.1500,94.8000,95.9000,1943
2024-02-02,95.9000,97.6000,94.8000,96.3500,1996
2024-02-03,96.3500,98.5000,95.2500,97.2500,2049
2024-02-04,97.2500,102.0500,96.1500,100.8000,1202
2024-02-05,100.8000,103.8500,99.7000,102.6000,1255
2024-02-06,102.6000,103.8500,99.7000,100.8000,1308
2024-02-07,100.8000,102.0500,98.3500,99.4500,1361
2024-02-08,99.4500,100.7000,97.4500,98.5500,1414
2024-02-09,98.5500,99.8000,97.0000,98.1000,1467
2024-02-10,98.1000,99.3500,97.0000,98.1000,1520
2024-02-11,98.1000,99.8000,97.0000,98.5500,1573
2024-02-12,98.5500,100.7000,97.4500,99.4500,1626
2024-02-13,99.4500,102.0500,98.3500,100.8000,1679
2024-02-14,100.8000,103.8500,99.7000,102.6000,1732
2024-02-15,102.6000,103.8500,99.7000,100.8000,1785
2024-02-16,100.8000,102.0500,96.3500,97.4500,1838
2024-02-17,97.4500,98.7000,95.4500,96.5500,1891
2024-02-18,96.5500,97.8000,95.0000,96.1000,1944
2024-02-19,96.1000,97.3500,95.0000,96.1000,1997
2024-02-20,96.1000,97.8000,95.0000,96.5500,2050
2024-02-21,96.5500,100.9000,95.4500,99.6500,1203
2024-02-22,99.6500,102.2500,98.5500,101.0000,1256
2024-02-23,101.0000,104.0500,99.9000,102.8000,1309
2024-02-24,102.8000,104.0500,99.9000,101.0000,1362
2024-02-25,101.0000,102.2500,98.5500,99.6500,1415
2024-02-26,99.6500,100.9000,97.6500,98.7500,1468
2024-02-27,98.7500,100.0000,97.2000,98.3000,1521
2024-02-28,98.3000,99.5500,97.2000,98.3000,1574
2024-02-29,98.3000,100.0000,97.2000,98.7500,1627
2024-03-01,98.7500,100.9000,97.6500,99.6500,1680
2024-03-02,99.6500,102.2500,98.5500,101.0000,1733
2024-03-03,101.0000,104.0500,99.9000,102.8000,1786
2024-03-04,102.8000,104.0500,99.9000,101.0000,1839
2024-03-05,101.0000,102.2500,98.5500,99.6500,1892
2024-03-06,99.6500,100.9000,97.6500,98.7500,1945
2024-03-07,98.7500,100.0000,97.2000,98.3000,1998
2024-03-08,98.3000,99.5500,97.2000,98.3000,2051
2024-03-09,98.3000,102.2000,97.2000,100.9500,1204
2024-03-10,100.9500,102.2000,98.7500,99.8500,1257
2024-03-11,99.8500,102.4500,98.7500,101.2000,1310
2024-03-12,101.2000,104.2500,100.1000,103.0000,1363
2024-03-13,103.0000,104.2500,100.1000,101.2000,1416
2024-03-14,101.2000,102.4500,98.7500,99.8500,1469
2024-03-15,99.8500,101.1000,97.8500,98.9500,1522
2024-03-16,98.9500,100.2000,97.4000,98.5000,1575
2024-03-17,98.5000,99.7500,97.4000,98.5000,1628
2024-03-18,98.5000,100.2000,97.4000,98.9500,1681
2024-03-19,98.9500,101.1000,97.8500,99.8500,1734
2024-03-20,99.8500,102.4500,98.7500,101.2000,1787
2024-03-21,101.2000,104.2500,100.1000,103.0000,1840
2024-03-22,103.0000,104.2500,100.1000,101.2000,1893
2024-03-23,101.2000,102.4500,98.7500,99.8500,1946
2024-03-24,99.8500,101.1000,97.8500,98.9500,1999
2024-03-25,98.9500,100.2000,97.4000,98.5000,2052
2024-03-26,98.5000,101.9500,97.4000,100.7000,1205
2024-03-27,100.7000,102.4000,99.6000,101.1500,1258
2024-03-28,101.1500,103.3000,100.0500,102.0500,1311
2024-03-29,102.0500,104.6500,100.9500,103.4000,1364
2024-03-30,103.4000,106.4500,102.3000,105.2000,1417
